,Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
56,4,0,0,2.0,0.0,0.0,6.0,4.0,7.0,12.0,2.0,0.0,0,0,0,0
57,4,0,0,3.0,4.0,4.0,1.0,3.0,4.0,10.0,4.0,3.0,3,1,1,4
59,4,0,3,4.0,5.0,2.0,2.0,1.0,3.0,15.0,2.0,3.0,2,3,5,5
60,2,0,0,2.0,7.0,3.0,3.0,5.0,7.0,7.0,2.0,3.0,1,4,3,2
61,0,1,0,2.0,3.0,1.0,1.0,1.0,7.0,0.0,1.0,3.0,4,1,2,3
65,4,0,2,4.0,6.0,5.0,6.0,2.0,4.0,14.0,1.0,3.0,2,2,2,4
66,2,0,0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,4.0,3.0,1,1,1,2
68,7,1,2,4.0,6.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,3,1,1,1
69,5,0,0,5.0,4.0,5.0,3.0,1.0,2.0,16.0,3.0,0.0,2,4,3,4
72,2,0,0,3.0,0.0,3.0,1.0,4.0,2.0,10.0,1.0,5.0,3,1,2,1
74,2,0,5,2.0,5.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,2,4,1,3
75,9,0,5,4.0,0.0,4.0,5.0,4.0,7.0,6.0,1.0,3.0,1,1,1,3
78,0,0,0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5,1,0,0
79,1,0,0,3.0,7.0,3.0,2.0,1.0,2.0,8.0,1.0,2.0,3,3,2,5
81,5,0,0,3.0,0.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,1,2,1,1
82,1,0,5,5.0,5.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3,3,4,3
83,4,1,5,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2,4,2
84,3,0,0,3.0,6.0,4.0,4.0,1.0,4.0,16.0,6.0,3.0,2,1,2,3
90,8,0,3,3.0,3.0,5.0,8.0,1.0,3.0,12.0,1.0,3.0,2,4,6,4
93,4,0,3,3.0,3.0,5.0,6.0,4.0,5.0,16.0,6.0,3.0,1,3,3,4
94,1,0,0,2.0,5.0,3.0,1.0,5.0,7.0,7.0,2.0,1.0,5,1,1,2
95,0,0,0,0.0,7.0,2.0,1.0,5.0,7.0,0.0,1.0,0.0,2,1,3,4
98,3,0,0,3.0,0.0,1.0,0.0,5.0,7.0,11.0,3.0,0.0,1,1,0,0
101,1,0,0,3.0,7.0,3.0,2.0,2.0,2.0,8.0,6.0,3.0,1,1,1,1
104,7,0,2,2.0,5.0,5.0,1.0,4.0,4.0,17.0,5.0,0.0,2,2,1,1
105,1,0,5,2.0,4.0,4.0,2.0,3.0,4.0,7.0,1.0,2.0,2,3,2,4
106,2,0,1,2.0,7.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,2,3,2,5
108,3,0,3,2.0,0.0,2.0,1.0,5.0,1.0,13.0,1.0,3.0,4,4,4,4
110,0,0,0,2.0,7.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,4,3,4,3
111,1,0,3,5.0,8.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,1,2,1,1
114,0,0,3,1.0,5.0,1.0,1.0,4.0,3.0,6.0,3.0,3.0,2,4,4,3
115,2,1,1,3.0,3.0,4.0,6.0,5.0,5.0,0.0,0.0,0.0,3,4,4,5
120,4,0,3,3.0,3.0,4.0,1.0,5.0,7.0,18.0,6.0,3.0,3,4,1,1
122,4,0,0,4.0,6.0,5.0,4.0,1.0,1.0,8.0,1.0,0.0,2,1,2,3
124,6,1,3,4.0,3.0,5.0,6.0,4.0,7.0,22.0,5.0,4.0,2,3,3,3
126,2,0,2,3.0,4.0,3.0,1.0,4.0,7.0,8.0,3.0,0.0,1,1,1,2
131,5,0,3,3.0,7.0,4.0,6.0,1.0,1.0,0.0,5.0,4.0,1,1,5,1
133,4,0,5,4.0,6.0,5.0,6.0,3.0,4.0,14.0,0.0,0.0,4,10,8,4
135,2,0,2,3.0,7.0,3.0,2.0,5.0,7.0,0.0,6.0,3.0,3,5,4,6
137,4,0,3,3.0,3.0,4.0,5.0,4.0,3.0,16.0,5.0,1.0,3,2,2,2
138,4,0,1,2.0,4.0,5.0,1.0,1.0,1.0,14.0,2.0,3.0,5,3,5,5
139,2,1,0,2.0,5.0,2.0,0.0,5.0,3.0,5.0,1.0,3.0,2,3,0,0
140,4,1,5,3.0,9.0,1.0,2.0,2.0,3.0,11.0,5.0,0.0,2,2,3,4
142,2,0,3,3.0,4.0,5.0,2.0,2.0,4.0,14.0,1.0,4.0,5,2,3,5
143,0,0,1,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1,1,1,1
145,1,0,2,3.0,6.0,3.0,3.0,1.0,7.0,13.0,6.0,3.0,2,4,4,7
147,3,0,2,3.0,5.0,3.0,3.0,1.0,3.0,4.0,5.0,0.0,5,2,4,4
148,5,0,2,4.0,4.0,6.0,1.0,2.0,2.0,13.0,1.0,3.0,2,1,2,1
154,3,0,2,4.0,6.0,3.0,1.0,4.0,2.0,11.0,1.0,0.0,3,1,3,2
155,4,0,5,3.0,8.0,3.0,5.0,1.0,3.0,0.0,4.0,1.0,1,3,1,3
156,2,1,2,3.0,3.0,3.0,6.0,5.0,7.0,13.0,5.0,1.0,2,2,1,2
158,2,1,0,3.0,5.0,4.0,3.0,3.0,4.0,12.0,1.0,0.0,2,3,1,4
159,1,0,0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,3,4,6,6
161,2,0,5,3.0,4.0,4.0,4.0,5.0,7.0,0.0,2.0,1.0,8,1,1,1
163,0,0,0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,2,5,8,7
164,3,0,0,3.0,4.0,4.0,2.0,4.0,2.0,8.0,4.0,0.0,4,2,4,2
165,3,0,2,5.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1,3,4,1
168,5,0,2,1.0,3.0,6.0,6.0,4.0,5.0,18.0,6.0,2.0,3,3,9,4
172,1,1,0,2.0,4.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0,0,0,0
173,2,0,0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,8,5,4,5
174,7,0,2,4.0,6.0,6.0,8.0,4.0,7.0,15.0,6.0,3.0,7,3,3,7
175,3,0,3,3.0,5.0,3.0,3.0,3.0,7.0,16.0,6.0,3.0,2,1,1,2
176,3,0,0,2.0,0.0,1.0,1.0,5.0,7.0,7.0,1.0,0.0,1,3,1,3
177,7,0,2,4.0,0.0,5.0,2.0,4.0,4.0,12.0,1.0,1.0,4,1,1,1
178,6,0,3,3.0,4.0,3.0,2.0,3.0,7.0,20.0,6.0,3.0,6,4,6,5
180,3,1,0,2.0,3.0,3.0,5.0,2.0,7.0,9.0,3.0,3.0,1,3,3,2
183,4,0,3,3.0,7.0,6.0,6.0,2.0,2.0,20.0,1.0,3.0,3,2,2,3
184,3,1,2,3.0,3.0,2.0,2.0,3.0,1.0,12.0,1.0,0.0,3,2,4,4
188,5,1,3,2.0,5.0,1.0,1.0,1.0,2.0,11.0,1.0,2.0,2,2,1,1
192,1,1,0,1.0,4.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,7,2,8,5
194,5,0,5,4.0,3.0,6.0,8.0,1.0,2.0,18.0,5.0,5.0,5,1,1,2
195,1,0,3,3.0,5.0,3.0,1.0,1.0,1.0,11.0,1.0,0.0,3,2,1,1
196,3,0,1,2.0,0.0,5.0,4.0,5.0,3.0,8.0,3.0,2.0,2,2,3,1
197,3,1,2,4.0,3.0,4.0,6.0,1.0,2.0,13.0,1.0,1.0,3,5,1,2
199,2,1,1,5.0,6.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,1,3,3,4
200,1,1,2,3.0,3.0,2.0,2.0,4.0,3.0,8.0,1.0,3.0,2,3,4,4
204,3,0,0,2.0,3.0,2.0,2.0,5.0,7.0,10.0,4.0,3.0,1,1,3,1
206,2,0,0,3.0,0.0,2.0,2.0,2.0,3.0,7.0,2.0,3.0,2,2,1,1
209,5,0,0,3.0,3.0,3.0,4.0,1.0,2.0,7.0,4.0,3.0,2,1,3,2
210,4,0,0,3.0,3.0,4.0,6.0,1.0,4.0,4.0,3.0,3.0,3,4,4,6
215,5,0,3,4.0,0.0,6.0,4.0,2.0,2.0,23.0,3.0,3.0,1,2,3,4
221,2,1,2,3.0,3.0,2.0,2.0,5.0,7.0,14.0,6.0,3.0,3,4,5,3
222,1,1,0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,3,5,5,4
225,2,0,3,5.0,5.0,4.0,1.0,4.0,4.0,7.0,1.0,2.0,2,2,1,2
230,0,0,3,3.0,4.0,3.0,0.0,1.0,3.0,17.0,4.0,3.0,4,1,0,0
232,9,0,0,3.0,9.0,1.0,1.0,3.0,2.0,20.0,3.0,0.0,1,1,1,1
234,4,0,0,5.0,5.0,4.0,5.0,5.0,7.0,13.0,1.0,3.0,3,3,4,3
237,1,0,0,2.0,10.0,5.0,0.0,4.0,5.0,7.0,3.0,5.0,2,1,0,0
239,3,0,3,4.0,0.0,3.0,1.0,3.0,3.0,19.0,3.0,1.0,1,3,1,1
240,3,0,3,3.0,4.0,3.0,3.0,4.0,3.0,10.0,1.0,0.0,4,4,3,4
243,0,0,0,2.0,7.0,3.0,1.0,1.0,4.0,0.0,2.0,0.0,1,3,6,4
244,5,1,3,3.0,11.0,2.0,2.0,1.0,2.0,12.0,4.0,3.0,2,3,1,3
245,2,0,0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,5,3,1,1
246,3,0,3,3.0,3.0,4.0,3.0,5.0,7.0,21.0,6.0,4.0,2,1,2,3
250,0,0,0,2.0,7.0,2.0,1.0,1.0,7.0,0.0,1.0,5.0,1,1,3,3
254,7,0,0,3.0,9.0,6.0,3.0,1.0,3.0,19.0,1.0,0.0,3,2,5,3
255,2,0,0,3.0,3.0,3.0,5.0,4.0,4.0,0.0,4.0,3.0,2,3,2,3
257,1,0,0,2.0,4.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0,0,0,0
258,5,0,5,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0,0,0,0
259,0,0,3,2.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,4,4,5,3
260,0,0,0,2.0,7.0,3.0,2.0,5.0,7.0,0.0,1.0,2.0,4,3,4,5
265,1,0,2,3.0,7.0,4.0,2.0,2.0,3.0,5.0,1.0,3.0,1,2,2,3
266,2,0,0,2.0,10.0,3.0,1.0,5.0,7.0,9.0,2.0,0.0,4,2,2,1
268,5,0,3,3.0,11.0,5.0,4.0,5.0,7.0,20.0,6.0,1.0,3,4,3,4
271,1,0,0,3.0,5.0,2.0,2.0,4.0,3.0,7.0,2.0,0.0,2,1,4,4
272,6,0,5,5.0,4.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,4,1,0,0
275,8,0,2,4.0,8.0,6.0,8.0,5.0,3.0,19.0,4.0,0.0,6,2,3,3
278,7,0,3,3.0,4.0,6.0,2.0,5.0,7.0,18.0,1.0,3.0,3,1,1,1
280,9,0,3,3.0,0.0,6.0,3.0,3.0,3.0,20.0,4.0,3.0,3,3,6,6
281,5,0,0,0.0,0.0,0.0,6.0,2.0,1.0,9.0,1.0,0.0,0,0,0,0
285,2,0,0,3.0,0.0,4.0,1.0,5.0,7.0,7.0,2.0,3.0,3,3,4,4
288,7,0,5,4.0,6.0,0.0,1.0,4.0,6.0,0.0,1.0,5.0,0,0,0,0
291,3,0,3,3.0,5.0,1.0,0.0,4.0,2.0,10.0,1.0,0.0,1,1,0,0
293,1,0,3,3.0,8.0,3.0,2.0,3.0,6.0,14.0,1.0,3.0,4,3,1,2
294,2,0,2,3.0,5.0,1.0,0.0,4.0,1.0,13.0,2.0,0.0,1,1,0,0
300,2,0,0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,1,2,2,1
301,6,0,0,3.0,7.0,6.0,6.0,3.0,3.0,9.0,5.0,0.0,4,2,3,3
302,4,0,2,3.0,10.0,4.0,2.0,2.0,3.0,9.0,5.0,3.0,3,3,3,3
303,3,0,2,3.0,3.0,4.0,6.0,4.0,7.0,13.0,1.0,3.0,1,1,3,5
304,4,0,2,4.0,0.0,5.0,6.0,5.0,7.0,15.0,5.0,3.0,6,6,9,4
307,5,0,2,4.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2,2,4,3
309,4,1,2,3.0,5.0,3.0,6.0,3.0,3.0,12.0,3.0,3.0,1,1,1,4
311,8,0,2,3.0,3.0,4.0,5.0,4.0,5.0,15.0,3.0,3.0,3,3,1,2
314,9,0,3,3.0,9.0,6.0,2.0,1.0,1.0,14.0,3.0,0.0,3,3,3,4
315,1,0,0,3.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2,2,7,5
316,6,0,3,3.0,4.0,6.0,2.0,2.0,1.0,18.0,1.0,0.0,6,3,3,4
317,8,0,3,3.0,9.0,6.0,0.0,5.0,7.0,21.0,1.0,3.0,1,1,0,0
318,8,0,2,4.0,3.0,6.0,8.0,5.0,7.0,23.0,1.0,3.0,1,2,6,8
320,1,0,0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,5,2,3,2
322,0,0,0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,2,3,6,4
325,2,0,3,2.0,3.0,5.0,4.0,4.0,7.0,18.0,2.0,3.0,3,2,4,3
328,4,0,0,3.0,3.0,4.0,6.0,2.0,5.0,5.0,1.0,0.0,1,2,2,1
330,5,0,3,3.0,4.0,6.0,2.0,1.0,1.0,9.0,3.0,3.0,4,3,1,3
333,4,0,0,3.0,7.0,2.0,2.0,1.0,1.0,0.0,4.0,5.0,1,3,4,6
334,3,0,5,3.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,5,1,4,3
339,1,0,2,1.0,9.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,2,1,3,2
344,3,0,0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1,1,1,1
345,7,0,0,4.0,6.0,5.0,1.0,2.0,4.0,3.0,3.0,0.0,5,1,2,3
347,4,0,4,2.0,0.0,1.0,0.0,1.0,1.0,20.0,3.0,4.0,2,1,0,0
348,6,0,2,2.0,9.0,0.0,1.0,5.0,7.0,18.0,1.0,0.0,0,0,0,0
349,5,0,3,4.0,6.0,5.0,1.0,1.0,3.0,16.0,4.0,3.0,2,2,1,3
353,4,0,3,3.0,0.0,6.0,6.0,3.0,7.0,19.0,5.0,3.0,6,1,4,7
356,5,0,0,3.0,12.0,5.0,1.0,4.0,4.0,13.0,5.0,4.0,3,1,1,1
357,3,0,3,1.0,4.0,4.0,3.0,2.0,2.0,18.0,4.0,0.0,1,3,1,1
358,1,0,2,3.0,5.0,1.0,1.0,5.0,6.0,12.0,4.0,0.0,1,1,4,1
360,3,0,3,4.0,4.0,5.0,3.0,5.0,7.0,7.0,4.0,3.0,2,3,2,2
361,5,0,0,3.0,9.0,2.0,3.0,5.0,7.0,14.0,4.0,3.0,2,4,4,8
365,1,0,0,2.0,3.0,2.0,1.0,1.0,2.0,24.0,5.0,2.0,1,2,6,6
367,2,0,0,2.0,5.0,3.0,1.0,3.0,2.0,9.0,5.0,3.0,4,2,3,4
370,1,0,0,2.0,10.0,0.0,1.0,2.0,2.0,5.0,1.0,0.0,0,0,0,0
371,4,0,0,3.0,9.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,1,2,3,6
372,2,0,2,3.0,3.0,3.0,3.0,5.0,7.0,12.0,1.0,3.0,3,2,5,4
376,2,1,3,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,3,4,3,2
377,4,0,3,3.0,3.0,5.0,5.0,2.0,4.0,20.0,3.0,3.0,3,1,1,3
378,6,0,3,4.0,6.0,6.0,8.0,3.0,7.0,19.0,5.0,3.0,2,1,2,6
382,5,0,0,5.0,0.0,0.0,1.0,5.0,7.0,7.0,2.0,0.0,0,0,0,0
383,5,1,3,3.0,7.0,1.0,1.0,1.0,2.0,7.0,1.0,3.0,1,1,3,4
387,2,0,4,3.0,8.0,2.0,1.0,1.0,7.0,13.0,4.0,1.0,3,4,1,1
390,2,0,3,3.0,8.0,2.0,0.0,3.0,3.0,16.0,3.0,0.0,2,2,0,0
391,5,1,0,4.0,4.0,4.0,1.0,1.0,1.0,9.0,1.0,2.0,2,2,1,1
392,0,1,0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,4,4,5,9
394,5,0,1,2.0,7.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,2,1,1,1
395,5,0,0,2.0,0.0,4.0,2.0,5.0,7.0,16.0,5.0,2.0,1,3,2,5
396,6,0,3,3.0,8.0,1.0,0.0,2.0,1.0,12.0,1.0,0.0,1,1,0,0
399,4,0,2,3.0,6.0,2.0,1.0,1.0,2.0,7.0,1.0,3.0,3,3,1,2
401,7,0,0,2.0,7.0,6.0,4.0,4.0,5.0,17.0,4.0,0.0,6,1,4,6
403,0,0,0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2,2,2,4
407,1,0,0,2.0,0.0,1.0,1.0,5.0,1.0,5.0,2.0,0.0,1,2,1,2
410,2,1,0,4.0,6.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,2,2,2,4
413,2,0,0,3.0,8.0,2.0,2.0,4.0,3.0,13.0,1.0,5.0,1,1,3,1
415,2,0,3,3.0,10.0,4.0,5.0,2.0,7.0,7.0,5.0,4.0,2,2,3,3
416,6,0,2,1.0,3.0,2.0,1.0,1.0,2.0,12.0,4.0,3.0,2,3,1,3
420,5,0,0,5.0,0.0,0.0,6.0,1.0,1.0,12.0,3.0,0.0,0,0,0,0
422,0,0,0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2,2,3
423,0,0,2,2.0,4.0,4.0,2.0,4.0,2.0,0.0,1.0,3.0,3,1,2,4
424,2,0,3,3.0,8.0,3.0,2.0,3.0,7.0,18.0,1.0,3.0,1,2,1,3
425,4,0,2,3.0,5.0,3.0,0.0,3.0,4.0,13.0,1.0,0.0,1,1,0,0
426,2,1,0,3.0,10.0,2.0,2.0,5.0,7.0,5.0,6.0,0.0,2,5,5,5
428,3,0,5,3.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,1,2,2,3
429,2,0,0,3.0,3.0,4.0,6.0,3.0,5.0,0.0,2.0,3.0,3,3,5,3
430,1,1,0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,2,3,2,6
432,8,0,4,2.0,11.0,6.0,2.0,1.0,2.0,10.0,3.0,1.0,1,1,1,1
433,3,0,3,4.0,6.0,4.0,2.0,1.0,2.0,14.0,4.0,3.0,3,1,2,2
435,1,1,0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,3,1,2,2
436,6,1,5,3.0,5.0,2.0,0.0,2.0,3.0,8.0,1.0,3.0,3,2,0,0
437,4,2,3,3.0,3.0,5.0,7.0,3.0,4.0,19.0,5.0,4.0,3,2,3,6
438,3,0,2,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,0.0,1,1,3,3
440,1,0,3,3.0,8.0,1.0,1.0,5.0,7.0,1.0,1.0,3.0,3,3,2,3
441,8,0,0,1.0,8.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,0,0,0,0
442,2,1,0,4.0,6.0,2.0,2.0,3.0,5.0,0.0,1.0,3.0,2,3,2,1
443,7,0,3,3.0,9.0,6.0,5.0,5.0,7.0,20.0,4.0,3.0,6,3,4,5
445,6,0,0,3.0,3.0,3.0,2.0,5.0,7.0,9.0,4.0,3.0,2,5,5,3
446,7,0,0,2.0,4.0,6.0,2.0,4.0,7.0,11.0,4.0,0.0,5,1,3,3
447,6,0,2,5.0,3.0,6.0,8.0,4.0,7.0,8.0,4.0,4.0,2,3,7,6
448,0,0,1,2.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2,1,5,3
449,7,0,2,3.0,9.0,3.0,2.0,4.0,4.0,19.0,3.0,0.0,2,1,1,4
451,4,0,1,3.0,3.0,4.0,3.0,1.0,3.0,12.0,5.0,3.0,2,2,4,5
452,3,0,2,3.0,0.0,2.0,1.0,3.0,1.0,6.0,4.0,1.0,1,1,1,2
453,1,0,0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,3,2,5,8
454,2,0,0,2.0,3.0,4.0,4.0,4.0,7.0,8.0,4.0,3.0,2,1,4,3
455,9,0,3,5.0,8.0,6.0,0.0,4.0,4.0,18.0,4.0,3.0,6,4,0,0
456,1,0,0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,3,2,3,4
458,1,1,0,2.0,0.0,2.0,2.0,5.0,5.0,9.0,3.0,0.0,3,2,2,4
462,4,0,3,3.0,7.0,5.0,6.0,5.0,7.0,18.0,6.0,0.0,5,3,8,5
464,9,0,3,3.0,0.0,6.0,4.0,1.0,2.0,0.0,1.0,3.0,1,3,2,4
466,5,0,5,3.0,3.0,1.0,1.0,1.0,2.0,10.0,4.0,3.0,2,2,3,4
470,0,0,0,2.0,7.0,1.0,2.0,1.0,4.0,0.0,4.0,2.0,1,2,2,2
473,3,0,0,2.0,0.0,1.0,1.0,5.0,7.0,8.0,4.0,0.0,1,2,4,2
474,1,0,3,2.0,5.0,1.0,1.0,2.0,3.0,16.0,5.0,0.0,2,3,1,2
475,7,0,3,2.0,10.0,6.0,3.0,1.0,3.0,18.0,3.0,0.0,2,1,2,1
476,6,0,2,3.0,7.0,4.0,2.0,1.0,1.0,0.0,4.0,3.0,2,2,4,1
478,6,1,1,3.0,0.0,0.0,2.0,4.0,7.0,8.0,1.0,0.0,0,0,0,0
479,3,0,2,3.0,4.0,3.0,2.0,1.0,2.0,7.0,2.0,3.0,3,2,2,1
482,6,1,0,0.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,0.0,4,1,1,1
483,6,2,0,2.0,9.0,4.0,4.0,2.0,2.0,11.0,4.0,3.0,3,2,1,2
485,4,0,2,1.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,4,1,1,1
486,2,0,3,5.0,0.0,1.0,1.0,5.0,7.0,5.0,3.0,0.0,2,2,2,1
487,1,0,1,2.0,5.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4,2,1,3
488,3,1,3,3.0,10.0,4.0,2.0,5.0,7.0,18.0,6.0,3.0,4,4,3,3
489,6,0,2,1.0,3.0,6.0,6.0,1.0,2.0,17.0,6.0,5.0,2,1,2,10
490,1,0,0,3.0,5.0,3.0,1.0,3.0,3.0,15.0,3.0,1.0,6,7,8,10
491,1,0,2,3.0,3.0,2.0,1.0,1.0,2.0,11.0,4.0,2.0,2,3,3,1
492,4,0,0,4.0,9.0,4.0,6.0,5.0,1.0,8.0,1.0,3.0,5,1,1,3
496,2,1,2,3.0,5.0,0.0,1.0,2.0,7.0,0.0,3.0,0.0,0,0,0,0
497,1,0,0,2.0,5.0,1.0,1.0,3.0,7.0,6.0,1.0,0.0,3,2,1,2
500,6,0,3,2.0,0.0,2.0,2.0,4.0,3.0,12.0,6.0,3.0,3,3,4,1
501,1,0,3,3.0,7.0,4.0,2.0,5.0,7.0,13.0,5.0,3.0,2,2,5,5
502,2,0,3,3.0,5.0,4.0,3.0,4.0,3.0,8.0,3.0,3.0,4,3,2,3
503,2,0,0,2.0,3.0,4.0,5.0,4.0,7.0,14.0,5.0,3.0,3,2,4,3
505,1,0,2,3.0,3.0,2.0,2.0,4.0,2.0,9.0,4.0,5.0,1,3,5,6
506,1,0,0,2.0,12.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,4,2,0,0
507,3,0,3,3.0,5.0,3.0,2.0,2.0,2.0,15.0,3.0,3.0,2,3,3,3
512,5,0,3,4.0,8.0,5.0,2.0,5.0,2.0,13.0,4.0,3.0,2,3,4,4
513,5,1,0,3.0,0.0,5.0,1.0,4.0,3.0,12.0,3.0,0.0,3,4,4,6
514,3,0,0,3.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2,3,2,5
516,7,0,3,3.0,4.0,5.0,3.0,4.0,3.0,19.0,1.0,3.0,3,1,1,1
517,2,0,0,3.0,4.0,2.0,2.0,2.0,5.0,11.0,0.0,0.0,1,2,4,5
